ZIP,OFFENSE-DESC,OFFENSE-DESC
78221,Driving While Intoxicated,28
78221,Burglary Habitation,26
78221,Fraud,24
78221,Vandalism,22
78221,Threats,21
78221,Theft of Vehicle,20
78221,Burglary Building,17
78221,Burglary Vehicle,15
78221,Injury to a Child,13
78221,Aggravated Robbery Individual,11
78221,Arson,11
78221,Deadly Conduct,11
78221,Unauthorized Use of Motor Vehicle,8
78221,Prostitution,7
78221,Graffiti,6
78221,Protective Order Violation,6
78221,Indecent Exposure,4
78221,Robbery Individual,4
78221,Injury to Elderly Person,3
78221,Intoxication Assault,3
78221,Aggravated Robbery Business,2
78221,Kidnapping,2
78221,Manslaughter,2
78221,Robbery Business,2
78221,Aggravated Sexual Assault,1
78221,Indecency with a Child,1
78221,Indecency/Obscenity,1
78222,Drug Arrest,254
78222,Family Violence,77
78222,Obstruction of Justice,53
78222,TABC-Liquor Law Violation,52
78222,Trespassing,30
78222,Weapon Violation,24
78222,Larceny,23
78222,Traffic Violation,22
78222,Aggravated Family Violence,21
78222,Assault,19
78222,Panhandling,19
78222,Theft of Vehicle,16
78222,Aggravated Assault,13
78222,Vandalism,13
78222,Deadly Conduct,11
78222,Threats,9
78222,Driving While Intoxicated,8
78222,Fraud,8
78222,Burglary Vehicle,5
78222,Injury to a Child,5
78222,Aggravated Robbery Individual,4
78222,Burglary Habitation,3
78222,Protective Order Violation,3
78222,Prostitution,2
78222,Unauthorized Use of Motor Vehicle,2
78222,Aggravated Sexual Assault,1
78222,Burglary Building,1
78222,Kidnapping,1
78222,Sexual Assault,1
78223,Drug Arrest,1270
78223,Larceny,1108
78223,TABC-Liquor Law Violation,377
78223,Family Violence,317
78223,Obstruction of Justice,315
78223,Prostitution,159
78223,Weapon Violation,148
78223,Trespassing,143
78223,Panhandling,133
78223,Traffic Violation,133
78223,Assault,73
78223,Aggravated Assault,53
78223,Aggravated Family Violence,45
78223,Fraud,42
78223,Vandalism,41
78223,Driving While Intoxicated,32
78223,Deadly Conduct,28
78223,Threats,25
78223,Unauthorized Use of Motor Vehicle,23
78223,Injury to a Child,21
78223,Injury to Elderly Person,20
78223,Burglary Vehicle,18
78223,Protective Order Violation,18
78223,Aggravated Robbery Business,16
78223,Burglary Building,14
78223,Theft of Vehicle,14
78223,Robbery Business,12
78223,Aggravated Robbery Individual,11
78223,Burglary Habitation,11
78223,Indecent Exposure,11
78223,Kidnapping,8
78223,Robbery Individual,7
78223,VICE Violation,5
78223,Sexual Assault,4
78223,Aggravated Sexual Assault,3
78223,Murder,3
78223,Arson,1
78223,Graffiti,1
78223,Indecency with a Child,1
78223,Intoxication Assault,1
78223,Manslaughter,1
78224,Larceny,1416
78224,Drug Arrest,715
78224,TABC-Liquor Law Violation,185
78224,Obstruction of Justice,168
78224,Traffic Violation,141
78224,Family Violence,137
78224,Panhandling,120
78224,Trespassing,99
78224,Weapon Violation,60
78224,Assault,47
